do_code;do_ref;do_reftier;do_r1_code;do_r2_code;do_r3_code;do_r4_code;do_type;do_indice;do_date;do_classe;do_url1;do_url2;do_comment;do_creadat;do_majdate;do_majsrc;do_abddate;do_abdsrc
DO000000000001;REC-PGC-R4DSPEA001B001C001-01-V1;;;;;;PGC;V1;2015-05-26;A;\DSPE\INFRA\A001\B001\C001\REC-PGC-R4DSPEA001B001C001-01-V1.dwg;\DSPE\INFRA\A001\B001\C001\REC-PGC-R4DSPEA001B001C001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000002;REC-PGC-R4DSPEA001B001C001-02-V1;;;;;;PGC;V1;2015-05-26;A;\DSPE\INFRA\A001\B001\C001\REC-PGC-R4DSPEA001B001C001-02-V1.dwg;\DSPE\INFRA\A001\B001\C001\REC-PGC-R4DSPEA001B001C001-02-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000003;REC-SGC-R4DSPEA001B001C001-01-V1;;;;;;SGC;V1;2015-05-26;A;\DSPE\INFRA\A001\B001\C001\REC-SGC-R4DSPEA001B001C001-01-V1.dwg;\DSPE\INFRA\A001\B001\C001\REC-SGC-R4DSPEA001B001C001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000004;REC-DIG-R1DSPE-01-V1;;;;;;DIG;V1;2015-05-26;;\DSPE\GENERAL\DIG\REC-DIG-R1DSPE-01-V1.odt;\DSPE\GENERAL\DIG\REC-DIG-R1DSPE-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000005;REC-ETU-R4DSPEA001B001-01-V1;;;;;;ETU;V1;2015-05-26;;;\DSPE\GENERAL\ETU\REC-ETU-R3DSPEA001B001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000006;EXE-ETU-R4DSPEA001B001-01-V1;;;;;;ETU;V1;2015-05-26;;;\DSPE\GENERAL\ETU\EXE-ETU-R3DSPEA001B001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000007;REC-PSI-ZN000180030001-01-V1;;;;;;PSI;V1;2015-05-26;;;\DSPE\INFRA\A001\REC-PSI-ZN000180030001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000008;REC-PPH-R2DSPEA001-01-V1;;;;;;PPH;V1;2015-05-26;;;\DSPE\GENERAL\PPH\REC-PPH-R2DSPEA001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000009;REC-PCB-ZS000000000007-01-V1;;;;;;PCB;V1;2015-05-26;;;\DSPE\INFRA\A001\REC-PCB-ZS000000000007-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000010;EXE-PMQ-PT000180030064-01-V1;FOA 18003-255;;;;;PMQ;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030064-01-V1.xls;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030064-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000011;EXE-PMQ-PT000180030065-01-V1;FOA 18003-256;;;;;PMQ;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030065-01-V1.xls;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030065-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000012;EXE-PMQ-PT000180030072-01-V1;FOA 18003-300;;;;;PMQ;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030072-01-V1.xls;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030072-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000013;EXE-PMQ-PT000180030091-01-V1;FOA 18003-309;;;;;PMQ;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030091-01-V1.ods;\DSPE\INFRA\A001\B001\C002\EXE-PMQ-PT000180030091-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000014;EXE-DPO-PT000180031350-01-V1;POT 1;;;;;DPO;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C003\EXE-DPO-PT000180031350-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000015;REC-DLV-R4DSPEA001B001C001-01-V1;;;;;;DLV;V1;2015-05-26;A;\DSPE\INFRA\A001\B001\C001\REC-DLV-R4DSPEA001B001C001-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000016;DIA-DPI-R4DSPEA001B001C002-01-V1;DOSSIER PIQUETAGE FT;;;;;DPI;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C002\DIA-DPI-R4DSPEA001B001C002-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000017;DIA-DPI-R4DSPEA001B001C003-01-V1;DOSSIER PIQUETAGE ERDF;;;;;DPI;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C003\DIA-DPI-R4DSPEA001B001C003-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000018;DIA-DPI-R4DSPEA001B001C004-01-V1;DOSSIER PIQUETAGE FACADE;;;;;DPI;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C004\DIA-DPI-R4DSPEA001B001C004-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000019;AVP-DBL-ZD000180030001-01-V3;;;;;;DBL;V3;2015-05-26;;\DSPE\SITES\DBL\AVP-DBL-ZD000180030001-01-V3.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000020;EXE-DTT-R4DSPEA001B001C001-01-V1;;;;;;DTT;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C001\EXE-DTT-R4DSPEA001B001C001-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000021;EXE-DAM-R4DSPEA001B001C001-01-V1;;;;;;DAM;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C001\EXE-DAM-R4DSPEA001B001C001-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000022;AVP-CIN-OR900000000000-01-V1;;;;;;CIN;V1;2015-05-26;;;\DSPE\GENERAL\CIN\AVP-CIN-OR900000000000-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000023;AVP-CIN-OR900000000003-01-V1;;;;;;CIN;V1;2015-05-26;;;\DSPE\GENERAL\CIN\AVP-CIN-OR900000000003-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000024;REC-DCI-R4DSPEA001B001C002-01-V1;COMMANDE FT 18003-1;;;;;DCI;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C002\REC-DCI-R4DSPEA001B001C002-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000025;REC-DCI-R4DSPEA001B001C003-01-V2;COMMANDE ERDF 18003-1;;;;;DCI;V2;2015-05-26;;\DSPE\INFRA\A001\B001\C003\REC-DCI-R4DSPEA001B001C003-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000026;REC-DCI-R4DSPEA001B001C004-01-V1;COMMANDE FACADE 18003-1;;;;;DCI;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C004\REC-DCI-R4DSPEA001B001C004-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000027;EXE-CPV-R4DSPEA001B001C001-01-V1;;;;;;CPV;V1;2015-05-26;;;\DSPE\INFRA\A001\B001\C001\EXE-CPV-R4DSPEA001B001C001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000028;REC-DCS-ND000018003001-01-V1;;;;;;DCS;V1;2015-05-26;;\DSPE\SITES\A002\REC-DCS-ND000018003001-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000029;REC-DRS-ND000180031330-01-V1;;;;;;DRS;V1;2015-05-26;;\DSPE\SITES\A001\B001\C004\REC-DRS-ND000180031330-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000030;REC-DIP-ND200180030502-01-V1;;;;;;DIP;V1;2015-05-26;;\DSPE\SITES\A002\REC-DIP-ND200180030502-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000031;REC-SOP-ND200180030502-01-V1;;;;;;SOP;V1;2015-05-26;;\DSPE\OPTIQUE\A001\REC-SOP-ND200180030502-01-V1.dwg;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000032;EXE-SBP-BP000180030675-01-V1;;;;;;SBP;V1;2015-05-26;;\DSPE\OPTIQUE\A001\B001\EXE-SBP-BP000180030675-01-V1.dwg;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000033;EXE-SBP-BP000180030091-01-V1;;;;;;SBP;V1;2015-05-26;;\DSPE\OPTIQUE\A001\B001\EXE-SBP-BP000180030091-01-V1.dwg;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000034;EXE-SRA-BA000180030508-01-V1;;;;;;SRA;V1;2015-05-26;;\DSPE\OPTIQUE\A001\B001\EXE-SRA-BA000180030508-01-V1.dwg;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000035;EXE-KEQ-RF000000000001-01-V1;;;;;;KEQ;V1;2015-05-26;;;\DSPE\GENERAL\KEQ\EXE-KEQ-RF000000000001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000036;EXE-CIM-ND000180031330-01-V1;;;;;;CIM;V1;2015-05-26;;;\DSPE\SITES\A001\B001\C004\EXE-CIM-ND000180031330-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000037;REC-MRF-RT000000000006-01-V1;;;;;;MRF;V1;2015-05-26;;\DSPE\OPTIQUE\A001\B001\REC-MRF-RT000000000006-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000038;REC-MFX-R4DSPEA001B001C001-01-V1;;;;;;MFX;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C001\REC-MFX-R4DSPEA001B001C001-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000039;REC-MFX-R4DSPEA001B001C002-01-V1;;;;;;MFX;V1;2015-05-26;;\DSPE\INFRA\A001\B001\C002\REC-MFX-R4DSPEA001B001C002-01-V1.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000040;REC-RGC-R4DSPEA001B001C001-01-V1;;;;;;RGC;V1;2015-05-26;;;\DSPE\INFRA\A001\B001\C001\REC-RGC-R4DSPEA001B001C001-01-V1.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000041;REC-RVR-R4DSPEA001B001C001-01-V3;;;;;;RVR;V3;2015-05-26;;;\DSPE\INFRA\A001\B001\C001\REC-RVR-R4DSPEA001B001C001-01-V3.pdf;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
DO000000000042;REC-DLG-R2DSPELA00-01-V2;;;;;;DLG;V2;2015-05-26;;\DSPE\GENERAL\DLG\REC-DLG-R2DSPEA001-01-V2.zip;;;2015-05-27 00:00:00;2015-06-08 00:00:00;;;
